id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
72635,"3 Private Bedrooms, SW Austin",377044,Jason & Marcie,78739,30.20282379578501,-97.88430895565078,Private room,300,2,1,2011-03-21,0.02,1,240
5386323,Cricket Trailer,27922117,Michael,78739,30.19941405604094,-97.90068356851768,Private room,99,3,0,,,1,364
8826517,Private room 1 in South Austin,46230038,Ric,78739,30.16849634313263,-97.86448296572205,Private room,100,1,0,,,2,365
8828616,Private room 2 in South Austin,46230038,Ric,78739,30.16862128963007,-97.8648741913196,Private room,100,1,0,,,2,365
8536913,Brand-New 3BR Austin Home,31148752,Bo,78739,30.169425565474555,-97.88831864172388,Entire home/apt,599,2,0,,,2,358
8542056,Private room & Bathroom.,44939694,,78739,30.18676367565741,-97.90744299786431,Private room,100,1,0,,,1,365
6385948,"S. Austin, convenient to MoPac",33287946,Jennie,78739,30.18769526684773,-97.92021715551185,Private room,54,1,0,,,1,301
8486890,Cozy private room 15 mins frm dtwn,11448084,Prerna,78739,30.18318340901128,-97.89098664019056,Private room,40,1,2,2015-11-01,2.0,1,312
8633580,Room to rent,45398195,Aurore Et Jeremy,78739,30.189291843216004,-97.86937281577008,Private room,130,1,0,,,1,355
5293632,Southwest Austin Retreat,1988520,,78739,30.170423708223087,-97.8699974399975,Private room,44,1,20,2015-10-13,2.52,1,364
7659967,Bright Comfy Room in Spacious Home,39813308,,78739,30.195145031694693,-97.8732540400925,Private room,99,2,0,,,1,364
4045302,"Studio apartment w/ Pvt bath, Pool ",1456033,Neha,78739,30.15196822933792,-97.85736967249024,Private room,50,3,9,2015-10-28,0.69,1,84
2989616,South Austin Private room2,7567467,Chalu,78739,30.18864482730461,-97.8893217007895,Private room,49,2,4,2015-10-12,1.41,5,360
2853144,South Austin Private room,7567467,,78739,30.189162849076535,-97.88786222485716,Private room,50,3,7,2015-07-27,0.39,5,364
330710,Austin Zen Stay / Longhorn Room 10,1427814,Andrea,78754,30.328618822885176,-97.6766548649262,Private room,55,1,14,2015-10-13,0.32,10,365
5370554,"Cozy apartment in N. Austin
",27839802,Sarah,78754,30.37968425909236,-97.65205261008482,Entire home/apt,180,1,0,,,1,238
6629676,Nice and quiet private guest room,34704670,Victor,78754,30.376729074806228,-97.65730846435851,Private room,36,1,6,2015-10-11,1.17,2,356
8689127,Near downtown on greenbelt!,32007715,Chris,78754,30.36685552502317,-97.65319262440741,Private room,125,1,0,,,2,365
7988725,Lovely apartment in gated community,42163493,,78754,30.38117647129497,-97.65075698832308,Entire home/apt,59,2,0,,,1,69
5260962,Master Bed in French Country Home!,13935640,K,78754,30.335078768790503,-97.64788403506869,Private room,49,1,4,2015-07-06,0.51,2,254
6628321,Williamson House,33242818,Catie,78754,30.37295044177941,-97.6584697844007,Private room,40,1,0,,,1,132
7451505,Private room on Walnut Creek,7960961,Grant,78754,30.370927945528177,-97.66301063020184,Private room,150,1,0,,,1,365
1704476,Huge rental 10 min to everything!,5685651,Douglas,78754,30.376271741360398,-97.65423270701305,Private room,175,1,0,,,1,365
2432311,Large Private Bed/Bathroom in Home,12432655,Nicole,78754,30.357320598108267,-97.64198872233816,Private room,50,1,76,2015-11-02,3.74,1,153
9298752,Comfortable relaxing house,48273901,Christine,78754,30.37438161830868,-97.65397708310525,Entire home/apt,120,1,0,,,1,360
7725153,3 bedroom home 15 minutes from DT,40591749,Kevin,78754,30.33492948826429,-97.64619873646448,Entire home/apt,450,1,0,,,1,68
3928248,Private Bed in Cozy French House!,13935640,K,78754,30.33455215942941,-97.65012697255156,Private room,49,1,14,2015-10-14,0.97,2,354
6749902,Cozy and private guest room,34704670,Victor,78754,30.37688928859114,-97.65697961257028,Private room,36,1,8,2015-10-31,1.86,2,364
6169536,Near downtown Austin on greenbelt!,32007715,Chris,78754,30.368327085074487,-97.65316172870577,Private room,75,1,1,2015-10-17,1.0,2,365
5839837,Room in a House in Northeast Austin,11277513,,78754,30.36382163154577,-97.61802795945525,Private room,50,1,1,2015-10-13,1.0,1,353
5625550,Master Suite in Nice Austin Home,28705030,,78754,30.37510553778606,-97.6484910344798,Private room,70,1,0,,,1,365
6691572,Private Room in Large Home,33918864,Tracy,78754,30.34510456121488,-97.61362260100056,Private room,36,1,0,,,1,358
5682731,HUGE ROOM W/ BATH -- CLS TO DWNTOWN,29281190,Lucy,78754,30.40238265380577,-97.64495064724196,Private room,110,1,0,,,1,365
6616920,Just an extra room in a house,34631231,Todd,78754,30.36878119520048,-97.66499922783207,Private room,200,1,0,,,1,134
6194285,Private spacious two-story home,22586923,,78754,30.373272983677143,-97.65138221800524,Private room,34,1,16,2015-10-24,2.55,1,342
8098091,Beautiful Upscale Townhome/Apt,42762241,Abraham,78732,30.380728551336254,-97.87624318905306,Private room,59,1,2,2015-10-27,1.43,1,365
1865762,Private home in Steiner Ranch,9728400,Justin,78732,30.347356012286077,-97.91258737999935,Private room,155,1,0,,,1,365
8466296,Lake Travis Wraparound Deck House,31148752,Bo,78732,30.391936419266173,-97.88250471503841,Entire home/apt,700,2,1,2015-10-12,1.0,2,340
8537281,Hillside Villa on Lake Travis,31148752,Bo,78732,30.39172137499785,-97.89440197049473,Entire home/apt,819,2,0,,,2,351
4267135,3BR/2BA Luxury Lakeside Estate ,4641823,Erica,78732,30.395974458971143,-97.88413982552973,Entire home/apt,1200,2,2,2015-04-27,0.25,7,0
753947,Lake Austin Waterfront Estate,3966350,Stephen,78732,30.383799136501235,-97.91320916727358,Entire home/apt,1250,3,6,2015-08-24,0.41,1,365
8029167,Romantic Castle Apt.- Lake Travis,42393385,Elise,78732,30.407324471139376,-97.8752010838258,Private room,250,2,1,2015-09-10,0.51,1,358
3802766,"2 Bedroom, 1 Full bath, Kitchenette",19538456,Charles,78732,30.393122876353804,-97.88309094862268,Private room,300,1,0,,,1,365
6625221,Austin stone home with pool!,34676081,Shannon,78732,30.37394323929393,-97.88371069140041,Entire home/apt,800,1,0,,,1,134
5606440,LAKEFRONT W DOCK CLOSE TO THE OASIS,1651456,Lydia,78732,30.39392287068449,-97.8907732487837,Private room,85,2,9,2015-11-01,1.18,2,341
4394031,4 Bedroom Casita on UT Golf Course,22810123,Jeanie,78732,30.357150765861263,-97.891320938916,Entire home/apt,600,2,0,,,1,356
6066627,Beautiful home in Steiner Ranch,18845205,Brendan,78732,30.37233635191825,-97.89821794318509,Entire home/apt,200,1,1,2015-08-09,0.33,1,349
8205083,Queen bed in fully furnished house,15303928,Chain,78732,30.382785210815353,-97.87664478849257,Private room,1000,1,0,,,1,39
