id,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
72635,1,2011-03-21,2011-03-21,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,moderate,1.0,1.0,1,0.02
5386323,0,,,,,,,,,,1.0,moderate,1.0,1.0,1,
8826517,0,,,,,,,,,,1.0,flexible,1.0,1.0,2,
8828616,0,,,,,,,,,,1.0,flexible,1.0,1.0,2,
8536913,0,,,,,,,,,,1.0,strict,1.0,1.0,2,
8542056,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
6385948,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
8486890,2,2015-10-26,2015-11-01,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,moderate,1.0,1.0,1,2.0
8633580,0,,,,,,,,,,0.0,flexible,1.0,1.0,1,
5293632,20,2015-03-16,2015-10-13,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,moderate,1.0,1.0,1,2.52
7659967,0,,,,,,,,,,1.0,strict,1.0,1.0,1,
4045302,9,2014-10-14,2015-10-28,93.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,strict,0.0,0.0,1,0.69
2989616,4,2015-08-15,2015-10-12,100.0,9.0,10.0,10.0,10.0,10.0,10.0,1.0,strict,1.0,1.0,5,1.41
2853144,7,2014-05-12,2015-07-27,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,strict,1.0,1.0,5,0.39
330710,14,2012-03-17,2015-10-13,99.0,10.0,10.0,10.0,10.0,9.0,9.0,1.0,strict,1.0,1.0,10,0.32
5370554,0,,,,,,,,,,0.0,flexible,1.0,1.0,1,
6629676,6,2015-06-07,2015-10-11,87.0,9.0,8.0,10.0,9.0,9.0,10.0,1.0,moderate,1.0,1.0,2,1.17
8689127,0,,,,,,,,,,1.0,strict,1.0,1.0,2,
7988725,0,,,,,,,,,,0.0,moderate,1.0,1.0,1,
5260962,4,2015-03-18,2015-07-06,100.0,10.0,10.0,10.0,10.0,9.0,10.0,1.0,strict,1.0,1.0,2,0.51
6628321,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
7451505,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
1704476,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
2432311,76,2014-03-09,2015-11-02,94.0,10.0,9.0,10.0,10.0,9.0,10.0,1.0,moderate,1.0,1.0,1,3.74
9298752,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
7725153,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
