id,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified
72635,377044,Jason & Marcie,2011-02-04,"Austin, Texas, United States",,,,False,Circle C,1.0,"['email', 'facebook', 'linkedin', 'reviews']",True,True
5386323,27922117,Michael,2015-02-17,"Austin, Texas, United States",,,,False,Circle C,1.0,"['email', 'phone', 'google', 'kba']",True,True
8826517,46230038,Ric,2015-10-10,"Austin, Texas, United States",,,,False,,2.0,"['email', 'phone', 'linkedin', 'jumio']",True,True
8828616,46230038,Ric,2015-10-10,"Austin, Texas, United States",,,,False,,2.0,"['email', 'phone', 'linkedin', 'jumio']",True,True
8536913,31148752,Bo,2015-04-13,US,within a few hours,0.98,0.81,False,Holly,301.0,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",True,True
8542056,44939694,Michael,2015-09-23,"Austin, Texas, United States",,,,False,Circle C,1.0,"['email', 'phone']",True,True
6385948,33287946,Jennie,2015-05-13,"Austin, Texas, United States",,,,False,,1.0,"['email', 'phone', 'linkedin', 'kba']",True,True
8486890,11448084,Prerna,2014-01-19,"Austin, Texas, United States",within an hour,1.0,1.0,False,Circle C,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,True
8633580,45398195,Aurore Et Jeremy,2015-09-29,US,within a day,1.0,1.0,False,,2.0,"['email', 'phone']",True,True
5293632,1988520,Peg,2012-03-22,"Austin, Texas, United States",within an hour,1.0,1.0,True,,1.0,"['email', 'phone', 'google', 'reviews', 'jumio']",True,True
7659967,39813308,Michael,2015-07-28,US,,,,False,Circle C,1.0,"['email', 'phone']",True,True
4045302,1456033,Neha,2011-11-30,"Austin, Texas, United States",within an hour,1.0,1.0,False,,1.0,"['email', 'phone', 'facebook', 'google', 'reviews', 'kba']",True,True
2989616,7567467,Chalu,2013-07-18,"Austin, Texas, United States",within an hour,0.97,0.94,True,St. Johns,9.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
2853144,7567467,Chalu,2013-07-18,"Austin, Texas, United States",within an hour,0.97,0.94,True,St. Johns,9.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
330710,1427814,Andrea,2011-11-21,"Austin, Texas, United States",within a few hours,1.0,1.0,True,St. Johns,12.0,"['email', 'phone', 'reviews']",True,True
5370554,27839802,Sarah,2015-02-16,"Austin, Texas, United States",,,,False,Copperfield,1.0,"['email', 'phone', 'facebook', 'jumio']",True,True
6629676,34704670,Victor,2015-06-01,"Austin, Texas, United States",within an hour,1.0,0.87,False,,2.0,"['email', 'phone', 'google', 'reviews', 'jumio']",True,True
8689127,32007715,Chris,2015-04-26,"Austin, Texas, United States",within an hour,0.8,1.0,False,,2.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
7988725,42163493,Giancarlo,2015-08-21,"Austin, Texas, United States",within an hour,1.0,1.0,False,,1.0,"['email', 'phone']",True,True
5260962,13935640,K,2014-04-05,"Austin, Texas, United States",within an hour,1.0,0.75,True,,2.0,"['email', 'phone', 'reviews', 'kba']",True,True
6628321,33242818,Catie,2015-05-12,"Austin, Texas, United States",,,,False,,1.0,"['email', 'phone']",True,True
7451505,7960961,Grant,2015-07-20,"Austin, Texas, United States",,,,False,,1.0,"['email', 'phone', 'facebook']",True,True
1704476,5685651,Douglas,2013-03-29,"Austin, Texas, United States",,,,False,,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
2432311,12432655,Nicole,2014-02-20,"Austin, Texas, United States",within a few hours,1.0,0.93,False,,1.0,"['email', 'phone', 'reviews', 'kba']",True,True
9298752,48273901,Christine,2015-11-05,US,,,,False,,1.0,"['email', 'phone', 'google', 'jumio']",True,True
7725153,40591749,Kevin,2015-08-05,US,within a day,0.5,,False,,1.0,"['email', 'phone']",True,True
3928248,13935640,K,2014-04-05,"Austin, Texas, United States",within an hour,1.0,0.75,True,,2.0,"['email', 'phone', 'reviews', 'kba']",True,True
6749902,34704670,Victor,2015-06-01,"Austin, Texas, United States",within an hour,1.0,0.87,False,,2.0,"['email', 'phone', 'google', 'reviews', 'jumio']",True,True
6169536,32007715,Chris,2015-04-26,"Austin, Texas, United States",within an hour,0.8,1.0,False,,2.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
5839837,11277513,Jo,2014-01-13,"Austin, Texas, United States",within a day,0.71,0.5,False,,2.0,"['email', 'phone', 'reviews', 'kba']",True,True
5625550,28705030,Lauren,2015-03-03,"Austin, Texas, United States",,,,False,,1.0,"['email', 'phone', 'google', 'reviews', 'kba']",True,True
6691572,33918864,Tracy,2015-05-21,"Austin, Texas, United States",,,,False,,1.0,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",True,True
5682731,29281190,Lucy,2015-03-13,US,within a day,0.5,,False,,2.0,"['email', 'phone']",True,True
6616920,34631231,Todd,2015-05-31,"Austin, Texas, United States",,,,False,,1.0,"['phone', 'facebook']",True,True
6194285,22586923,Christine,2014-10-15,"Austin, Texas, United States",within a few hours,1.0,0.7,True,,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
8098091,42762241,Abraham,2015-08-28,"Austin, Texas, United States",within a few hours,0.8,1.0,False,Steiner Ranch,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,True
1865762,9728400,Justin,2013-10-30,"Austin, Texas, United States",,,,False,Steiner Ranch,1.0,"['email', 'phone', 'facebook']",True,True
8466296,31148752,Bo,2015-04-13,US,within a few hours,0.98,0.81,False,Holly,301.0,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",True,True
8537281,31148752,Bo,2015-04-13,US,within a few hours,0.98,0.81,False,Holly,301.0,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",True,True
4267135,4641823,Erica,2013-01-09,"Austin, Texas, United States",within a few hours,1.0,0.88,False,Upper Boggy Creek,339.0,"['email', 'phone', 'google', 'reviews', 'kba']",True,True
753947,3966350,Stephen,2012-10-24,"Austin, Texas, United States",within a few hours,1.0,0.5,False,Steiner Ranch,1.0,"['email', 'phone', 'reviews', 'kba']",True,True
