id,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified
72635,377044,Jason & Marcie,2011-02-04,"Austin, Texas, United States",,,,1.0,Circle C,1.0,"['email', 'facebook', 'linkedin', 'reviews']",0.0,1.0
5386323,27922117,Michael,2015-02-17,"Austin, Texas, United States",,,,1.0,Circle C,1.0,"['email', 'phone', 'google', 'kba']",0.0,0.0
8826517,46230038,Ric,2015-10-10,"Austin, Texas, United States",,,,1.0,,2.0,"['email', 'phone', 'linkedin', 'jumio']",0.0,0.0
8536913,31148752,Bo,2015-04-13,US,within a few hours,0.98,0.81,1.0,Holly,301.0,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",0.0,0.0
8542056,44939694,Michael,2015-09-23,"Austin, Texas, United States",,,,1.0,Circle C,1.0,"['email', 'phone']",0.0,1.0
6385948,33287946,Jennie,2015-05-13,"Austin, Texas, United States",,,,1.0,,1.0,"['email', 'phone', 'linkedin', 'kba']",0.0,0.0
8486890,11448084,Prerna,2014-01-19,"Austin, Texas, United States",within an hour,1.0,1.0,1.0,Circle C,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",0.0,0.0
8633580,45398195,Aurore Et Jeremy,2015-09-29,US,within a day,1.0,1.0,1.0,,2.0,"['email', 'phone']",0.0,1.0
5293632,1988520,Peg,2012-03-22,"Austin, Texas, United States",within an hour,1.0,1.0,0.0,,1.0,"['email', 'phone', 'google', 'reviews', 'jumio']",0.0,0.0
7659967,39813308,Michael,2015-07-28,US,,,,1.0,Circle C,1.0,"['email', 'phone']",0.0,1.0
4045302,1456033,Neha,2011-11-30,"Austin, Texas, United States",within an hour,1.0,1.0,1.0,,1.0,"['email', 'phone', 'facebook', 'google', 'reviews', 'kba']",0.0,0.0
2989616,7567467,Chalu,2013-07-18,"Austin, Texas, United States",within an hour,0.97,0.94,0.0,St. Johns,9.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",0.0,0.0
330710,1427814,Andrea,2011-11-21,"Austin, Texas, United States",within a few hours,1.0,1.0,0.0,St. Johns,12.0,"['email', 'phone', 'reviews']",0.0,1.0
5370554,27839802,Sarah,2015-02-16,"Austin, Texas, United States",,,,1.0,Copperfield,1.0,"['email', 'phone', 'facebook', 'jumio']",0.0,0.0
6629676,34704670,Victor,2015-06-01,"Austin, Texas, United States",within an hour,1.0,0.87,1.0,,2.0,"['email', 'phone', 'google', 'reviews', 'jumio']",0.0,0.0
8689127,32007715,Chris,2015-04-26,"Austin, Texas, United States",within an hour,0.8,1.0,1.0,,2.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",0.0,0.0
7988725,42163493,Giancarlo,2015-08-21,"Austin, Texas, United States",within an hour,1.0,1.0,1.0,,1.0,"['email', 'phone']",0.0,1.0
5260962,13935640,K,2014-04-05,"Austin, Texas, United States",within an hour,1.0,0.75,0.0,,2.0,"['email', 'phone', 'reviews', 'kba']",0.0,0.0
6628321,33242818,Catie,2015-05-12,"Austin, Texas, United States",,,,1.0,,1.0,"['email', 'phone']",0.0,1.0
