id,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped
72635,300.0,,,,,1,0.0,2,10,True,0,0,0,240,2015-11-07
5386323,99.0,600.0,,1000.0,75.0,1,0.0,3,7,True,29,59,89,364,2015-11-07
8826517,100.0,,,,,1,0.0,1,1125,True,30,60,90,365,2015-11-07
8828616,100.0,,,,,1,0.0,1,1125,True,30,60,90,365,2015-11-07
8536913,599.0,,,,125.0,1,0.0,2,1125,True,27,57,87,358,2015-11-07
8542056,100.0,,,,,1,0.0,1,1125,True,30,60,90,365,2015-11-07
6385948,54.0,,,,15.0,2,25.0,1,1125,True,0,0,26,301,2015-11-07
8486890,40.0,,,,25.0,2,10.0,1,7,True,16,16,37,312,2015-11-07
8633580,130.0,750.0,2600.0,,,2,50.0,1,1125,True,29,50,80,355,2015-11-07
5293632,44.0,275.0,,,10.0,2,19.0,1,1125,True,29,59,89,364,2015-11-07
7659967,99.0,499.0,1499.0,,,2,0.0,2,7,True,29,59,89,364,2015-11-07
4045302,50.0,,1200.0,200.0,50.0,1,10.0,3,1125,True,24,54,84,84,2015-11-07
2989616,49.0,350.0,875.0,,,1,0.0,2,14,True,25,55,85,360,2015-11-07
2853144,50.0,300.0,1000.0,,,1,20.0,3,1125,True,29,59,89,364,2015-11-07
330710,55.0,,895.0,100.0,75.0,1,0.0,1,1825,True,30,60,90,365,2015-11-07
5370554,180.0,1225.0,5115.0,200.0,100.0,0,0.0,1,1125,True,0,0,0,238,2015-11-07
6629676,36.0,189.0,689.0,100.0,,1,10.0,1,1125,True,21,51,81,356,2015-11-07
8689127,125.0,750.0,1000.0,100.0,25.0,1,15.0,1,1125,True,30,60,90,365,2015-11-07
7988725,59.0,,,,,1,0.0,2,1125,True,0,4,4,69,2015-11-07
5260962,49.0,250.0,,100.0,20.0,2,25.0,1,1125,True,4,4,4,254,2015-11-07
6628321,40.0,,,,,1,0.0,1,1125,True,0,0,0,132,2015-11-07
7451505,150.0,,,,,1,0.0,1,1125,True,30,60,90,365,2015-11-07
1704476,175.0,,,200.0,35.0,3,25.0,1,1125,True,30,60,90,365,2015-11-07
2432311,50.0,300.0,1000.0,,,4,10.0,1,30,True,19,44,63,153,2015-11-07
9298752,120.0,,,,,1,0.0,1,1125,True,27,55,85,360,2015-11-07
7725153,450.0,,,,,1,0.0,1,1125,True,0,0,0,68,2015-11-07
3928248,49.0,,,100.0,20.0,2,25.0,1,28,True,19,49,79,354,2015-11-07
6749902,36.0,189.0,689.0,100.0,,1,10.0,1,1125,True,29,59,89,364,2015-11-07
6169536,75.0,350.0,750.0,100.0,15.0,1,20.0,1,1125,True,30,60,90,365,2015-11-07
5839837,50.0,,,,,1,0.0,1,1125,True,30,60,90,353,2015-11-07
5625550,70.0,450.0,,200.0,30.0,1,0.0,1,1125,True,30,60,90,365,2015-11-07
6691572,36.0,211.0,714.0,,,2,5.0,1,1125,True,23,53,83,358,2015-11-07
5682731,110.0,700.0,,,,1,0.0,1,1125,True,30,60,90,365,2015-11-07
6616920,200.0,,,,,1,0.0,1,1125,True,0,0,0,134,2015-11-07
6194285,34.0,190.0,700.0,,,1,10.0,1,1125,True,7,37,67,342,2015-11-07
8098091,59.0,460.0,2500.0,100.0,10.0,4,15.0,1,1125,True,30,60,90,365,2015-11-07
1865762,155.0,,,,,1,0.0,1,1125,True,30,60,90,365,2015-11-07
8466296,700.0,,,,165.0,1,0.0,2,1125,True,22,42,69,340,2015-11-07
8537281,819.0,,,,175.0,1,0.0,2,1125,True,25,55,85,351,2015-11-07
4267135,1200.0,,,,235.0,1,0.0,2,165,True,0,0,0,0,2015-11-07
753947,1250.0,,,250.0,250.0,10,0.0,3,1125,True,30,60,90,365,2015-11-07
8029167,250.0,1200.0,3250.0,,85.0,1,0.0,2,1125,True,26,53,83,358,2015-11-07
3802766,300.0,1500.0,3000.0,250.0,100.0,1,0.0,1,1125,True,30,60,90,365,2015-11-07
6625221,800.0,3000.0,,,,1,0.0,1,1125,True,0,0,0,134,2015-11-07
5606440,85.0,425.0,1239.0,100.0,25.0,2,25.0,2,30,True,25,42,72,341,2015-11-07
4394031,600.0,,,,,1,0.0,2,1125,True,21,51,81,356,2015-11-07
