id,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified
72635,377044,Jason & Marcie,2011-02-04,"Austin, Texas, United States",,,,f,Circle C,1.0,"['email', 'facebook', 'linkedin', 'reviews']",t,f
5386323,27922117,Michael,2015-02-17,"Austin, Texas, United States",,,,f,Circle C,1.0,"['email', 'phone', 'google', 'kba']",t,t
8826517,46230038,Ric,2015-10-10,"Austin, Texas, United States",,,,f,,2.0,"['email', 'phone', 'linkedin', 'jumio']",t,t
8828616,46230038,Ric,2015-10-10,"Austin, Texas, United States",,,,f,,2.0,"['email', 'phone', 'linkedin', 'jumio']",t,t
8536913,31148752,Bo,2015-04-13,US,within a few hours,98%,81%,f,Holly,301.0,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",t,t
8542056,44939694,Michael,2015-09-23,"Austin, Texas, United States",,,,f,Circle C,1.0,"['email', 'phone']",t,f
6385948,33287946,Jennie,2015-05-13,"Austin, Texas, United States",,,,f,,1.0,"['email', 'phone', 'linkedin', 'kba']",t,t
8486890,11448084,Prerna,2014-01-19,"Austin, Texas, United States",within an hour,100%,100%,f,Circle C,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t
8633580,45398195,Aurore Et Jeremy,2015-09-29,US,within a day,100%,100%,f,,2.0,"['email', 'phone']",t,f
5293632,1988520,Peg,2012-03-22,"Austin, Texas, United States",within an hour,100%,100%,t,,1.0,"['email', 'phone', 'google', 'reviews', 'jumio']",t,t
7659967,39813308,Michael,2015-07-28,US,,,,f,Circle C,1.0,"['email', 'phone']",t,f
4045302,1456033,Neha,2011-11-30,"Austin, Texas, United States",within an hour,100%,100%,f,,1.0,"['email', 'phone', 'facebook', 'google', 'reviews', 'kba']",t,t
2989616,7567467,Chalu,2013-07-18,"Austin, Texas, United States",within an hour,97%,94%,t,St. Johns,9.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t
2853144,7567467,Chalu,2013-07-18,"Austin, Texas, United States",within an hour,97%,94%,t,St. Johns,9.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t
330710,1427814,Andrea,2011-11-21,"Austin, Texas, United States",within a few hours,100%,100%,t,St. Johns,12.0,"['email', 'phone', 'reviews']",t,f
5370554,27839802,Sarah,2015-02-16,"Austin, Texas, United States",,,,f,Copperfield,1.0,"['email', 'phone', 'facebook', 'jumio']",t,t
6629676,34704670,Victor,2015-06-01,"Austin, Texas, United States",within an hour,100%,87%,f,,2.0,"['email', 'phone', 'google', 'reviews', 'jumio']",t,t
8689127,32007715,Chris,2015-04-26,"Austin, Texas, United States",within an hour,80%,100%,f,,2.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t
7988725,42163493,Giancarlo,2015-08-21,"Austin, Texas, United States",within an hour,100%,100%,f,,1.0,"['email', 'phone']",t,f
5260962,13935640,K,2014-04-05,"Austin, Texas, United States",within an hour,100%,75%,t,,2.0,"['email', 'phone', 'reviews', 'kba']",t,t
6628321,33242818,Catie,2015-05-12,"Austin, Texas, United States",,,,f,,1.0,"['email', 'phone']",t,f
7451505,7960961,Grant,2015-07-20,"Austin, Texas, United States",,,,f,,1.0,"['email', 'phone', 'facebook']",t,f
1704476,5685651,Douglas,2013-03-29,"Austin, Texas, United States",,,,f,,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t
2432311,12432655,Nicole,2014-02-20,"Austin, Texas, United States",within a few hours,100%,93%,f,,1.0,"['email', 'phone', 'reviews', 'kba']",t,t
9298752,48273901,Christine,2015-11-05,US,,,,f,,1.0,"['email', 'phone', 'google', 'jumio']",t,t
7725153,40591749,Kevin,2015-08-05,US,within a day,50%,,f,,1.0,"['email', 'phone']",t,f
3928248,13935640,K,2014-04-05,"Austin, Texas, United States",within an hour,100%,75%,t,,2.0,"['email', 'phone', 'reviews', 'kba']",t,t
6749902,34704670,Victor,2015-06-01,"Austin, Texas, United States",within an hour,100%,87%,f,,2.0,"['email', 'phone', 'google', 'reviews', 'jumio']",t,t
6169536,32007715,Chris,2015-04-26,"Austin, Texas, United States",within an hour,80%,100%,f,,2.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t
5839837,11277513,Jo,2014-01-13,"Austin, Texas, United States",within a day,71%,50%,f,,2.0,"['email', 'phone', 'reviews', 'kba']",t,t
