id,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped
72635,$300.00,,,,,1,$0.00,2,10,t,0,0,0,240,2015-11-07
5386323,$99.00,$600.00,,"$1,000.00",$75.00,1,$0.00,3,7,t,29,59,89,364,2015-11-07
8826517,$100.00,,,,,1,$0.00,1,1125,t,30,60,90,365,2015-11-07
8828616,$100.00,,,,,1,$0.00,1,1125,t,30,60,90,365,2015-11-07
8536913,$599.00,,,,$125.00,1,$0.00,2,1125,t,27,57,87,358,2015-11-07
8542056,$100.00,,,,,1,$0.00,1,1125,t,30,60,90,365,2015-11-07
6385948,$54.00,,,,$15.00,2,$25.00,1,1125,t,0,0,26,301,2015-11-07
8486890,$40.00,,,,$25.00,2,$10.00,1,7,t,16,16,37,312,2015-11-07
8633580,$130.00,$750.00,"$2,600.00",,,2,$50.00,1,1125,t,29,50,80,355,2015-11-07
5293632,$44.00,$275.00,,,$10.00,2,$19.00,1,1125,t,29,59,89,364,2015-11-07
7659967,$99.00,$499.00,"$1,499.00",,,2,$0.00,2,7,t,29,59,89,364,2015-11-07
4045302,$50.00,,"$1,200.00",$200.00,$50.00,1,$10.00,3,1125,t,24,54,84,84,2015-11-07
2989616,$49.00,$350.00,$875.00,,,1,$0.00,2,14,t,25,55,85,360,2015-11-07
2853144,$50.00,$300.00,"$1,000.00",,,1,$20.00,3,1125,t,29,59,89,364,2015-11-07
330710,$55.00,,$895.00,$100.00,$75.00,1,$0.00,1,1825,t,30,60,90,365,2015-11-07
5370554,$180.00,"$1,225.00","$5,115.00",$200.00,$100.00,0,$0.00,1,1125,t,0,0,0,238,2015-11-07
6629676,$36.00,$189.00,$689.00,$100.00,,1,$10.00,1,1125,t,21,51,81,356,2015-11-07
8689127,$125.00,$750.00,"$1,000.00",$100.00,$25.00,1,$15.00,1,1125,t,30,60,90,365,2015-11-07
7988725,$59.00,,,,,1,$0.00,2,1125,t,0,4,4,69,2015-11-07
5260962,$49.00,$250.00,,$100.00,$20.00,2,$25.00,1,1125,t,4,4,4,254,2015-11-07
6628321,$40.00,,,,,1,$0.00,1,1125,t,0,0,0,132,2015-11-07
7451505,$150.00,,,,,1,$0.00,1,1125,t,30,60,90,365,2015-11-07
1704476,$175.00,,,$200.00,$35.00,3,$25.00,1,1125,t,30,60,90,365,2015-11-07
2432311,$50.00,$300.00,"$1,000.00",,,4,$10.00,1,30,t,19,44,63,153,2015-11-07
9298752,$120.00,,,,,1,$0.00,1,1125,t,27,55,85,360,2015-11-07
7725153,$450.00,,,,,1,$0.00,1,1125,t,0,0,0,68,2015-11-07
3928248,$49.00,,,$100.00,$20.00,2,$25.00,1,28,t,19,49,79,354,2015-11-07
6749902,$36.00,$189.00,$689.00,$100.00,,1,$10.00,1,1125,t,29,59,89,364,2015-11-07
6169536,$75.00,$350.00,$750.00,$100.00,$15.00,1,$20.00,1,1125,t,30,60,90,365,2015-11-07
5839837,$50.00,,,,,1,$0.00,1,1125,t,30,60,90,353,2015-11-07
5625550,$70.00,$450.00,,$200.00,$30.00,1,$0.00,1,1125,t,30,60,90,365,2015-11-07
6691572,$36.00,$211.00,$714.00,,,2,$5.00,1,1125,t,23,53,83,358,2015-11-07
5682731,$110.00,$700.00,,,,1,$0.00,1,1125,t,30,60,90,365,2015-11-07
6616920,$200.00,,,,,1,$0.00,1,1125,t,0,0,0,134,2015-11-07
6194285,$34.00,$190.00,$700.00,,,1,$10.00,1,1125,t,7,37,67,342,2015-11-07
8098091,$59.00,$460.00,"$2,500.00",$100.00,$10.00,4,$15.00,1,1125,t,30,60,90,365,2015-11-07
1865762,$155.00,,,,,1,$0.00,1,1125,t,30,60,90,365,2015-11-07
8466296,$700.00,,,,$165.00,1,$0.00,2,1125,t,22,42,69,340,2015-11-07
8537281,$819.00,,,,$175.00,1,$0.00,2,1125,t,25,55,85,351,2015-11-07
4267135,"$1,200.00",,,,$235.00,1,$0.00,2,165,t,0,0,0,0,2015-11-07
753947,"$1,250.00",,,$250.00,$250.00,10,$0.00,3,1125,t,30,60,90,365,2015-11-07
8029167,$250.00,"$1,200.00","$3,250.00",,$85.00,1,$0.00,2,1125,t,26,53,83,358,2015-11-07
3802766,$300.00,"$1,500.00","$3,000.00",$250.00,$100.00,1,$0.00,1,1125,t,30,60,90,365,2015-11-07
6625221,$800.00,"$3,000.00",,,,1,$0.00,1,1125,t,0,0,0,134,2015-11-07
5606440,$85.00,$425.00,"$1,239.00",$100.00,$25.00,2,$25.00,2,30,t,25,42,72,341,2015-11-07
4394031,$600.00,,,,,1,$0.00,2,1125,t,21,51,81,356,2015-11-07
6066627,$200.00,,,,$250.00,1,$0.00,1,1125,t,25,44,74,349,2015-11-07
8205083,"$1,000.00","$5,000.00","$28,000.00",,,1,$0.00,1,1125,t,0,0,0,39,2015-11-07
8647145,"$1,650.00","$10,000.00","$21,000.00",$500.00,$300.00,12,$40.00,3,1125,t,26,56,86,361,2015-11-07
8538141,$629.00,,,,$125.00,1,$0.00,2,1125,t,21,48,78,353,2015-11-07
5391565,$225.00,"$1,600.00","$3,200.00",$300.00,$100.00,2,$20.00,2,1125,t,6,36,66,341,2015-11-07
8538670,$469.00,,,,$165.00,1,$0.00,2,1125,t,15,32,62,323,2015-11-07
775002,"$1,500.00",,,,,1,$0.00,1,1125,t,30,60,90,365,2015-11-07
5530513,$565.00,"$3,560.00",,$300.00,$250.00,16,$25.00,2,1125,t,23,50,80,352,2015-11-07
8681039,$250.00,,,,,1,$0.00,2,14,t,22,50,80,355,2015-11-07
5562945,$499.00,,,,$250.00,1,$0.00,1,1125,t,30,60,90,365,2015-11-07
4704597,$599.00,"$4,500.00","$10,000.00",,$300.00,4,$35.00,2,30,t,26,56,86,361,2015-11-07
